data length,64
frequency,3000000.000000
amp,10.000000
offset,5.000000
phase,0.000000







xpos,value
1,0
2,0.250099
3,0.250099
4,0.250099
5,0.250099
6,0.250099
7,0.250099
8,0.250099
9,0.250099
10,0.250099
11,0.250099
12,0.250099
13,0.250099
14,0.250099
15,0.250099
16,0.250099
17,0.250099
18,0.250099
19,0.250099
20,0.250099
21,0.250099
22,0.250099
23,0.250099
24,0.250099
25,0.250099
26,0.250099
27,0.250099
28,6.99988
29,0.250099
30,0.250099
31,0.250099
32,0.250099
33,0.250099
34,0.250099
35,0.250099
36,0.250099
37,0.250099
38,0.250099
39,0.250099
40,0.250099
41,0.250099
42,0.250099
43,0.250099
44,0.250099
45,0.250099
46,0.250099
47,0.250099
48,0.250099
49,0.250099
50,0.250099
51,0.250099
52,0.250099
53,0.250099
54,0.250099
55,0.250099
56,0.250099
57,0.250099
58,0.250099
59,0.250099
60,0.250099
61,0.250099
62,0.250099
63,0.250099
64,0
