freq_GHz,R_V
3.04,0.00970782835
3.0416,0.009683446083333332
3.0432,0.009681443350000003
3.0448,0.009678709566666667
3.0464,0.009682047433333332
3.048,0.009685607783333333
3.0496,0.009686179933333336
3.0512,0.009702328766666666
3.0528,0.00970169305
3.0544000000000002,0.009714313333333334
3.056,0.009706747466666664
3.0576,0.00970706535
3.0592,0.00971574386666667
3.0608,0.009706715666666667
3.0624000000000002,0.009715489566666667
3.064,0.009708940933333335
3.0656,0.009679917516666666
3.0672,0.009672892116666665
3.0688,0.009676516100000001
3.0704000000000002,0.009678645933333334
3.072,0.009691107300000001
3.0736,0.009695430566666665
3.0752,0.009708177950000002
3.0768,0.0097460071
3.0784000000000002,0.009850339166666666
3.08,0.009959312333333333
3.0816,0.010112789666666669
3.0832,0.010263821000000001
3.0848,0.010419809666666668
3.0864000000000003,0.010535585333333335
3.088,0.0106480555
3.0896,0.010744345166666667
3.0912,0.010779090500000001
3.0928,0.010751497500000002
3.0944000000000003,0.010702637333333332
3.096,0.0105527515
3.0976,0.010371426666666666
3.0992,0.010165052166666667
3.1008,0.010040787166666667
3.1024000000000003,0.009945484016666667
3.104,0.009843536183333335
3.1056,0.009809807966666665
3.1072,0.009823413766666666
3.1088,0.009809744366666668
3.1104000000000003,0.009833586299999999
3.112,0.009842360033333334
3.1136,0.00982296863333333
3.1152,0.00981924935
3.1168,0.009806946916666667
3.1184000000000003,0.009779449283333335
3.12,0.00979556648333333
