freq_GHz,R_V
2.85,0.013211668125
2.8505000000000003,0.013241191166666666
2.851,0.013264525333333334
2.8515,0.013292117333333332
2.852,0.013288302833333336
2.8525,0.013300064833333331
2.853,0.013324479666666665
2.8535,0.01333681383333333
2.854,0.013353789
2.8545000000000003,0.013409738500000002
2.855,0.01342416966666667
2.8555,0.013463462
2.856,0.013530600833333335
2.8565,0.013609056166666668
2.857,0.013695967333333333
2.8575,0.013784340833333334
2.858,0.013907365166666666
2.8585000000000003,0.014046410166666665
2.859,0.014241532833333332
2.8595,0.014462912500000001
2.86,0.0146855625
2.8605,0.014924553666666668
2.861,0.015206396333333334
2.8615,0.015567520833333336
2.862,0.016021211833333333
2.8625000000000003,0.016531237500000004
2.863,0.017086974666666664
2.8635,0.017713602166666665
2.864,0.01855779466666667
2.8645,0.019641932166666664
2.865,0.020842735499999997
2.8655,0.022255127
2.866,0.023707381833333336
2.8665,0.024914224499999995
2.867,0.025745511666666665
2.8675,0.026297562
2.868,0.026494336333333333
2.8685,0.025929253166666662
2.869,0.02393054233333334
2.8695,0.0210089295
2.87,0.0185559515
2.8705,0.018125843166666662
2.871,0.020053409999999997
2.8715,0.0231047235
2.872,0.025750788
2.8725,0.027164260000000003
2.873,0.027718218500000003
2.8735,0.027770607333333332
2.874,0.027330899000000002
2.8745,0.026306971
2.875,0.024798257666666667
2.8755,0.023046421666666667
2.876,0.021481506
2.8765,0.020129832333333333
2.877,0.01902871866666667
2.8775,0.01812972133333333
2.878,0.017402513833333334
2.8785,0.016804624499999997
2.879,0.016271901666666668
2.8795,0.015826916333333333
2.88,0.015495232833333332
2.8805,0.015206905666666668
2.881,0.014930784666666667
2.8815,0.014674118833333333
2.882,0.014449814333333333
2.8825,0.014234666166666667
2.883,0.014070316
2.8835,0.013934894333333333
2.884,0.013808244666666669
2.8845,0.013712307666666666
2.885,0.013634105833333333
2.8855,0.013577139166666665
2.886,0.013517376500000003
2.8865,0.013486413333333334
2.887,0.013459774833333332
2.8875,0.0134464225
2.888,0.01341736766666667
2.8885,0.01340700466666667
2.889,0.013409294166666669
2.8895,0.013380236833333333
2.89,0.013384496999999999
2.8905,0.013380236166666669
2.891,0.013372988499999999
2.8914999999999997,0.013375341000000002
2.892,0.013378774500000001
2.8925,0.013353343500000002
2.893,0.013347876333333333
2.8935,0.013351371999999999
2.894,0.013343299333333334
2.8945,0.0133391025
2.895,0.013337387666666667
2.8954999999999997,0.013326768833333334
2.896,0.013313543666666665
2.8965,0.013295105333333333
2.897,0.0132881115
2.8975,0.013289510666666667
2.898,0.013282009166666667
2.8985,0.013286968
2.899,0.013290464499999998
2.8994999999999997,0.0133118275
2.9,0.01329822083333333
